ID	Customer Age (in months)	"Churn (1 = Yes, 0 = No)"	CHI Score Month 0	CHI Score 0-1	Support Cases Month 0	Support Cases 0-1	SP Month 0	SP 0-1	Logins 0-1	Blog Articles 0-1	Views 0-1	 Days Since Last Login 0-1
 1 	 67.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 2 	 67.0 	 -   	 62.0 	 4.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (16.0)	 31.0 
 3 	 55.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 4 	 63.0 	 -   	 231.0 	 1.0 	 1.0 	 (1.0)	 3.0 	 -   	 167.0 	 (8.0)	" 21,996.0 "	 -   
 5 	 57.0 	 -   	 43.0 	 (1.0)	 -   	 -   	 -   	 -   	 -   	 -   	 9.0 	 31.0 
 6 	 58.0 	 -   	 138.0 	 (10.0)	 -   	 -   	 -   	 -   	 43.0 	 -   	 (33.0)	 -   
 7 	 57.0 	 -   	 180.0 	 (5.0)	 1.0 	 1.0 	 3.0 	 3.0 	 13.0 	 (1.0)	 907.0 	 -   
 8 	 46.0 	 -   	 116.0 	 (11.0)	 -   	 -   	 -   	 -   	 -   	 -   	 38.0 	 6.0 
 9 	 56.0 	 -   	 78.0 	 (7.0)	 1.0 	 (2.0)	 3.0 	 -   	 (9.0)	 1.0 	 -   	 7.0 
 10 	 56.0 	 -   	 78.0 	 (37.0)	 -   	 -   	 -   	 -   	 (7.0)	 -   	 30.0 	 14.0 
 11 	 53.0 	 -   	 91.0 	 (1.0)	 -   	 -   	 -   	 -   	 14.0 	 3.0 	 -   	 -   
 12 	 56.0 	 -   	 40.0 	 14.0 	 -   	 -   	 -   	 -   	 -   	 -   	 15.0 	 31.0 
 13 	 57.0 	 -   	 215.0 	 15.0 	 -   	 -   	 -   	 -   	 71.0 	 9.0 	" 8,658.0 "	 -   
 14 	 57.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 15 	 55.0 	 -   	 118.0 	 63.0 	 -   	 -   	 -   	 -   	 5.0 	 1.0 	 995.0 	 -   
 16 	 56.0 	 -   	 59.0 	 16.0 	 -   	 -   	 -   	 -   	 -   	 -   	 4.0 	 31.0 
 17 	 52.0 	 -   	 67.0 	 25.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 77.0 	 31.0 
 18 	 55.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (2.0)	 31.0 
 19 	 54.0 	 -   	 258.0 	 (4.0)	 1.0 	 -   	 3.0 	 -   	 34.0 	 6.0 	 149.0 	 -   
 20 	 54.0 	 -   	 89.0 	 (12.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (41.0)	 (8.0)	 (29.0)	 -   
 21 	 54.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 22 	 54.0 	 -   	 142.0 	 1.0 	 -   	 -   	 -   	 -   	 26.0 	 1.0 	 (4.0)	 13.0 
 23 	 53.0 	 -   	 86.0 	 10.0 	 -   	 -   	 -   	 -   	 2.0 	 -   	 (53.0)	 (31.0)
 24 	 53.0 	 -   	 100.0 	 5.0 	 -   	 (1.0)	 -   	 (3.0)	 -   	 -   	 (8.0)	 2.0 
 25 	 53.0 	 -   	 103.0 	 (12.0)	 -   	 -   	 -   	 -   	 (6.0)	 (1.0)	 40.0 	 (1.0)
 26 	 46.0 	 -   	 75.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 10.0 	 30.0 
 27 	 53.0 	 -   	 182.0 	 8.0 	 8.0 	 6.0 	 3.0 	 (0.5)	 38.0 	 1.0 	 671.0 	 -   
 28 	 53.0 	 -   	 230.0 	 -   	 -   	 -   	 -   	 -   	 84.0 	 3.0 	" 13,043.0 "	 -   
 29 	 52.0 	 -   	 179.0 	 (22.0)	 2.0 	 1.0 	 3.0 	 -   	 10.0 	 (2.0)	 5.0 	 (1.0)
 30 	 53.0 	 -   	 48.0 	 (10.0)	 -   	 -   	 -   	 -   	 (15.0)	 -   	 12.0 	 (18.0)
 31 	 52.0 	 -   	 99.0 	 (6.0)	 -   	 -   	 -   	 -   	 (8.0)	 -   	 (23.0)	 (31.0)
 32 	 32.0 	 -   	 67.0 	 28.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
 33 	 52.0 	 -   	 160.0 	 10.0 	 3.0 	 3.0 	 3.0 	 3.0 	 12.0 	 -   	 481.0 	 4.0 
 34 	 52.0 	 -   	 91.0 	 50.0 	 4.0 	 1.0 	 3.0 	 -   	 26.0 	 -   	 -   	 (11.0)
 35 	 52.0 	 -   	 105.0 	 1.0 	 -   	 -   	 -   	 -   	 14.0 	 1.0 	 -   	 -   
 36 	 52.0 	 -   	 93.0 	 (29.0)	 -   	 -   	 -   	 -   	 (7.0)	 1.0 	" 4,682.0 "	 -   
 37 	 51.0 	 -   	 143.0 	 (32.0)	 4.0 	 1.0 	 2.5 	 0.2 	 61.0 	 (1.0)	 67.0 	 -   
